treeDepth, leafs, distanceLeafs, totalHashes, hashesPerLeaf
10, 28, 3, 75, 2.68
10, 29, 3, 77, 2.66
10, 30, 3, 78, 2.6
10, 2, 4, 12, 6
10, 3, 4, 15, 5
10, 4, 4, 17, 4.25
10, 5, 4, 21, 4.2
10, 6, 4, 23, 3.83
10, 7, 4, 26, 3.71
10, 8, 4, 28, 3.5
10, 9, 4, 33, 3.67
10, 10, 4, 35, 3.5
10, 11, 4, 38, 3.45
10, 12, 4, 40, 3.33
10, 13, 4, 44, 3.38
10, 14, 4, 46, 3.29
10, 15, 4, 49, 3.27
10, 16, 4, 51, 3.19
10, 17, 4, 57, 3.35
10, 18, 4, 59, 3.28
10, 19, 4, 62, 3.26
10, 20, 4, 64, 3.2
10, 21, 4, 68, 3.24
10, 22, 4, 70, 3.18
10, 23, 4, 73, 3.17
10, 24, 4, 75, 3.13
10, 25, 4, 80, 3.2
10, 26, 4, 82, 3.15
10, 27, 4, 85, 3.15
10, 28, 4, 87, 3.11
10, 29, 4, 91, 3.14
10, 30, 4, 93, 3.1
10, 2, 5, 12, 6
10, 3, 5, 15, 5
10, 4, 5, 17, 4.25
10, 5, 5, 21, 4.2
10, 6, 5, 24, 4
10, 7, 5, 26, 3.71
10, 8, 5, 31, 3.88
10, 9, 5, 34, 3.78
10, 10, 5, 36, 3.6
10, 11, 5, 40, 3.64
10, 12, 5, 42, 3.5
10, 13, 5, 45, 3.46
10, 14, 5, 51, 3.64
10, 15, 5, 53, 3.53
10, 16, 5, 56, 3.5
10, 17, 5, 60, 3.53
10, 18, 5, 62, 3.44
10, 19, 5, 65, 3.42
10, 20, 5, 67, 3.35
10, 21, 5, 72, 3.43
10, 22, 5, 75, 3.41
10, 23, 5, 77, 3.35
10, 24, 5, 81, 3.38
10, 25, 5, 84, 3.36
10, 26, 5, 86, 3.31
10, 27, 5, 93, 3.44
10, 28, 5, 95, 3.39
10, 29, 5, 98, 3.38
10, 30, 5, 102, 3.4
11, 2, 1, 11, 5.5
11, 3, 1, 12, 4
11, 4, 1, 12, 3
11, 5, 1, 14, 2.8
11, 6, 1, 14, 2.33
11, 7, 1, 15, 2.14
11, 8, 1, 15, 1.88
11, 9, 1, 18, 2
11, 10, 1, 18, 1.8
11, 11, 1, 19, 1.73
11, 12, 1, 19, 1.58
11, 13, 1, 21, 1.62
11, 14, 1, 21, 1.5
11, 15, 1, 22, 1.47
11, 16, 1, 22, 1.38
11, 17, 1, 26, 1.53
11, 18, 1, 26, 1.44
11, 19, 1, 27, 1.42
11, 20, 1, 27, 1.35
11, 21, 1, 29, 1.38
11, 22, 1, 29, 1.32
11, 23, 1, 30, 1.3
11, 24, 1, 30, 1.25
11, 25, 1, 33, 1.32
11, 26, 1, 33, 1.27
11, 27, 1, 34, 1.26
11, 28, 1, 34, 1.21
11, 29, 1, 36, 1.24
11, 30, 1, 36, 1.2
11, 2, 2, 12, 6
11, 3, 2, 14, 4.67
11, 4, 2, 15, 3.75
11, 5, 2, 18, 3.6
11, 6, 2, 19, 3.17
11, 7, 2, 21, 3
11, 8, 2, 22, 2.75
11, 9, 2, 26, 2.89
11, 10, 2, 27, 2.7
11, 11, 2, 29, 2.64
11, 12, 2, 30, 2.5
11, 13, 2, 33, 2.54
11, 14, 2, 34, 2.43
11, 15, 2, 36, 2.4
11, 16, 2, 37, 2.31
11, 17, 2, 42, 2.47
11, 18, 2, 43, 2.39
11, 19, 2, 45, 2.37
11, 20, 2, 46, 2.3
11, 21, 2, 49, 2.33
11, 22, 2, 50, 2.27
11, 23, 2, 52, 2.26
11, 24, 2, 53, 2.21
11, 25, 2, 57, 2.28
11, 26, 2, 58, 2.23
11, 27, 2, 60, 2.22
11, 28, 2, 61, 2.18
11, 29, 2, 64, 2.21
11, 30, 2, 65, 2.17
11, 2, 3, 12, 6
11, 3, 3, 14, 4.67
11, 4, 3, 17, 4.25
11, 5, 3, 19, 3.8
11, 6, 3, 20, 3.33
11, 7, 3, 24, 3.43
11, 8, 3, 26, 3.25
11, 9, 3, 29, 3.22
11, 10, 3, 30, 3
11, 11, 3, 32, 2.91
11, 12, 3, 37, 3.08
11, 13, 3, 39, 3
11, 14, 3, 40, 2.86
11, 15, 3, 43, 2.87
11, 16, 3, 45, 2.81
11, 17, 3, 49, 2.88
11, 18, 3, 50, 2.78
11, 19, 3, 52, 2.74
11, 20, 3, 55, 2.75
11, 21, 3, 57, 2.71
11, 22, 3, 58, 2.64
11, 23, 3, 64, 2.78
11, 24, 3, 66, 2.75
11, 25, 3, 69, 2.76
11, 26, 3, 70, 2.69
11, 27, 3, 72, 2.67
11, 28, 3, 76, 2.71
11, 29, 3, 78, 2.69
11, 30, 3, 79, 2.63
11, 2, 4, 13, 6.5
11, 3, 4, 16, 5.33
11, 4, 4, 18, 4.5
11, 5, 4, 22, 4.4
11, 6, 4, 24, 4
11, 7, 4, 27, 3.86
11, 8, 4, 29, 3.63
11, 9, 4, 34, 3.78
11, 10, 4, 36, 3.6
11, 11, 4, 39, 3.55
11, 12, 4, 41, 3.42
11, 13, 4, 45, 3.46
11, 14, 4, 47, 3.36
11, 15, 4, 50, 3.33
11, 16, 4, 52, 3.25
11, 17, 4, 58, 3.41
11, 18, 4, 60, 3.33
11, 19, 4, 63, 3.32
11, 20, 4, 65, 3.25
11, 21, 4, 69, 3.29
11, 22, 4, 71, 3.23
11, 23, 4, 74, 3.22
11, 24, 4, 76, 3.17
11, 25, 4, 81, 3.24
11, 26, 4, 83, 3.19
11, 27, 4, 86, 3.19
11, 28, 4, 88, 3.14
11, 29, 4, 92, 3.17
11, 30, 4, 94, 3.13
11, 2, 5, 13, 6.5
11, 3, 5, 16, 5.33
11, 4, 5, 18, 4.5
11, 5, 5, 22, 4.4
11, 6, 5, 25, 4.17
11, 7, 5, 27, 3.86
11, 8, 5, 32, 4
11, 9, 5, 35, 3.89
11, 10, 5, 37, 3.7
11, 11, 5, 41, 3.73
11, 12, 5, 43, 3.58
11, 13, 5, 46, 3.54
11, 14, 5, 52, 3.71
11, 15, 5, 54, 3.6
11, 16, 5, 57, 3.56
11, 17, 5, 61, 3.59
11, 18, 5, 63, 3.5
11, 19, 5, 66, 3.47
11, 20, 5, 68, 3.4
11, 21, 5, 73, 3.48
11, 22, 5, 76, 3.45
11, 23, 5, 78, 3.39
11, 24, 5, 82, 3.42
11, 25, 5, 85, 3.4
11, 26, 5, 87, 3.35
11, 27, 5, 94, 3.48
11, 28, 5, 96, 3.43
11, 29, 5, 99, 3.41
11, 30, 5, 103, 3.43
12, 2, 1, 12, 6
12, 3, 1, 13, 4.33
12, 4, 1, 13, 3.25
12, 5, 1, 15, 3
12, 6, 1, 15, 2.5
12, 7, 1, 16, 2.29
12, 8, 1, 16, 2
12, 9, 1, 19, 2.11
12, 10, 1, 19, 1.9
12, 11, 1, 20, 1.82
12, 12, 1, 20, 1.67
12, 13, 1, 22, 1.69
12, 14, 1, 22, 1.57
12, 15, 1, 23, 1.53
12, 16, 1, 23, 1.44
12, 17, 1, 27, 1.59
12, 18, 1, 27, 1.5
12, 19, 1, 28, 1.47
12, 20, 1, 28, 1.4
12, 21, 1, 30, 1.43
12, 22, 1, 30, 1.36
12, 23, 1, 31, 1.35
12, 24, 1, 31, 1.29
12, 25, 1, 34, 1.36
12, 26, 1, 34, 1.31
12, 27, 1, 35, 1.3
12, 28, 1, 35, 1.25
12, 29, 1, 37, 1.28
12, 30, 1, 37, 1.23
12, 2, 2, 13, 6.5
12, 3, 2, 15, 5
12, 4, 2, 16, 4
12, 5, 2, 19, 3.8
12, 6, 2, 20, 3.33
12, 7, 2, 22, 3.14
12, 8, 2, 23, 2.88
12, 9, 2, 27, 3
12, 10, 2, 28, 2.8
12, 11, 2, 30, 2.73
12, 12, 2, 31, 2.58
12, 13, 2, 34, 2.62
12, 14, 2, 35, 2.5
12, 15, 2, 37, 2.47
12, 16, 2, 38, 2.38
12, 17, 2, 43, 2.53
12, 18, 2, 44, 2.44
12, 19, 2, 46, 2.42
12, 20, 2, 47, 2.35
12, 21, 2, 50, 2.38
12, 22, 2, 51, 2.32
12, 23, 2, 53, 2.3
12, 24, 2, 54, 2.25
12, 25, 2, 58, 2.32
12, 26, 2, 59, 2.27
12, 27, 2, 61, 2.26
12, 28, 2, 62, 2.21
12, 29, 2, 65, 2.24
12, 30, 2, 66, 2.2
12, 2, 3, 13, 6.5
12, 3, 3, 15, 5
12, 4, 3, 18, 4.5
12, 5, 3, 20, 4
12, 6, 3, 21, 3.5
12, 7, 3, 25, 3.57
12, 8, 3, 27, 3.38
12, 9, 3, 30, 3.33
12, 10, 3, 31, 3.1
12, 11, 3, 33, 3
12, 12, 3, 38, 3.17
12, 13, 3, 40, 3.08
12, 14, 3, 41, 2.93
12, 15, 3, 44, 2.93
12, 16, 3, 46, 2.88
12, 17, 3, 50, 2.94
12, 18, 3, 51, 2.83
12, 19, 3, 53, 2.79
12, 20, 3, 56, 2.8
12, 21, 3, 58, 2.76
12, 22, 3, 59, 2.68
12, 23, 3, 65, 2.83
12, 24, 3, 67, 2.79
12, 25, 3, 70, 2.8
12, 26, 3, 71, 2.73
12, 27, 3, 73, 2.7
12, 28, 3, 77, 2.75
12, 29, 3, 79, 2.72
12, 30, 3, 80, 2.67
12, 2, 4, 14, 7
12, 3, 4, 17, 5.67
12, 4, 4, 19, 4.75
12, 5, 4, 23, 4.6
12, 6, 4, 25, 4.17
12, 7, 4, 28, 4
12, 8, 4, 30, 3.75
12, 9, 4, 35, 3.89
12, 10, 4, 37, 3.7
12, 11, 4, 40, 3.64
12, 12, 4, 42, 3.5
12, 13, 4, 46, 3.54
12, 14, 4, 48, 3.43
12, 15, 4, 51, 3.4
12, 16, 4, 53, 3.31
12, 17, 4, 59, 3.47
12, 18, 4, 61, 3.39
12, 19, 4, 64, 3.37
12, 20, 4, 66, 3.3
12, 21, 4, 70, 3.33
12, 22, 4, 72, 3.27
12, 23, 4, 75, 3.26
12, 24, 4, 77, 3.21
12, 25, 4, 82, 3.28
12, 26, 4, 84, 3.23
12, 27, 4, 87, 3.22
12, 28, 4, 89, 3.18
12, 29, 4, 93, 3.21
12, 30, 4, 95, 3.17
12, 2, 5, 14, 7
12, 3, 5, 17, 5.67
12, 4, 5, 19, 4.75
12, 5, 5, 23, 4.6
12, 6, 5, 26, 4.33
12, 7, 5, 28, 4
12, 8, 5, 33, 4.13
12, 9, 5, 36, 4
12, 10, 5, 38, 3.8
12, 11, 5, 42, 3.82
12, 12, 5, 44, 3.67
12, 13, 5, 47, 3.62
12, 14, 5, 53, 3.79
12, 15, 5, 55, 3.67
12, 16, 5, 58, 3.63
12, 17, 5, 62, 3.65
12, 18, 5, 64, 3.56
12, 19, 5, 67, 3.53
12, 20, 5, 69, 3.45
12, 21, 5, 74, 3.52
12, 22, 5, 77, 3.5
12, 23, 5, 79, 3.43
12, 24, 5, 83, 3.46
12, 25, 5, 86, 3.44
12, 26, 5, 88, 3.38
12, 27, 5, 95, 3.52
12, 28, 5, 97, 3.46
12, 29, 5, 100, 3.45
12, 30, 5, 104, 3.47
13, 2, 1, 13, 6.5
13, 3, 1, 14, 4.67
13, 4, 1, 14, 3.5
13, 5, 1, 16, 3.2
13, 6, 1, 16, 2.67
13, 7, 1, 17, 2.43
13, 8, 1, 17, 2.13
13, 9, 1, 20, 2.22
13, 10, 1, 20, 2
13, 11, 1, 21, 1.91
13, 12, 1, 21, 1.75
13, 13, 1, 23, 1.77
13, 14, 1, 23, 1.64
13, 15, 1, 24, 1.6
13, 16, 1, 24, 1.5
13, 17, 1, 28, 1.65
13, 18, 1, 28, 1.56
13, 19, 1, 29, 1.53
13, 20, 1, 29, 1.45
13, 21, 1, 31, 1.48
13, 22, 1, 31, 1.41
13, 23, 1, 32, 1.39
